"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0006469";"GO:0006469";"negative regulation of protein kinase activity";"36/3897";"136/18805";0.264705882352941;1.27734003532129;1.65959502770562;0.0631716741978988;0.322831154848107;0.281560834123337;"AKT1/AKT1S1/APOE/CDKN1C/CORO1C/DAB2IP/DBNDD2/DUSP19/DUSP7/GPRC5A/GSTP1/HHEX/HSPB1/IL1B/IRAK3/LRP5/LYN/MVP/PAQR3/PRKRIP1/PTPN1/PTPRC/PTPRJ/PYCARD/QARS1/RASIP1/RB1/RGS2/RTRAF/SLC8A1/SRCIN1/TRIB1/TSC2/WARS1/WWTR1/ZGPAT";36
"GO:0010458";"GO:0010458";"exit from mitosis";"11/3897";"33/18805";0.333333333333333;1.60850226670088;1.78872892387488;0.063269968206369;0.322831154848107;0.281560834123337;"ANLN/CDC14A/CDKN1C/CHMP2A/CLASP2/CTDP1/KNTC1/PPP1R9B/TGFB1/UBE2S/ZW10";11
"GO:0060351";"GO:0060351";"cartilage development involved in endochondral bone morphogenesis";"11/3897";"33/18805";0.333333333333333;1.60850226670088;1.78872892387488;0.063269968206369;0.322831154848107;0.281560834123337;"CBS/COL27A1/EXT1/FOSL2/HOXA11/MATN1/RARA/RARG/SHOX2/TGFBR2/TRIP11";11
"GO:0033143";"GO:0033143";"regulation of intracellular steroid hormone receptor signaling pathway";"21/3897";"73/18805";0.287671232876712;1.38815949044049;1.69887019318815;0.0640147217456187;0.326100968892454;0.284412639334601;"CNOT1/CNOT2/CYP7B1/DDRGK1/DDX5/FOXA1/HEYL/KANK2/KDM4C/NCOR2/PAGR1/PKN1/RNF6/SAFB/SKP2/SMARCA4/TCF21/TRIM68/UFL1/WBP2/ZBTB7A";21
"GO:0060260";"GO:0060260";"regulation of transcription initiation by RNA polymerase II";"21/3897";"73/18805";0.287671232876712;1.38815949044049;1.69887019318815;0.0640147217456187;0.326100968892454;0.284412639334601;"CAND1/CDK4/ERCC1/KAT8/MED13/MED14/MED16/MED22/MED23/MED25/MED29/MED31/MED6/NFKB1/SRF/SUB1/TAF4B/TAF6/THRA/ZNF451/ZNHIT1";21
"GO:0009266";"GO:0009266";"response to temperature stimulus";"45/3897";"175/18805";0.257142857142857;1.24084460574068;1.636553294687;0.0640985570453295;0.326263214936324;0.284554144052344;"ACADVL/AKT1/ATM/ATR/BAG3/CDH8/CIRBP/CXCL10/CXCR4/DAXX/DISC1/DNAJB1/DNAJC3/EEF1D/EIF2AK3/EIF2B4/ERO1A/HIKESHI/HSF1/HSP90AB1/HSPA1A/HSPA1B/HSPB1/HSPB2/HSPB6/IRAK1/LXN/LYN/MAP2K7/MAPKAPK2/MICA/MTOR/NGFR/NR2F6/PTGS2/SAXO1/SCARA5/SCN2B/SCN9A/SLC12A5/SLC27A1/SLC9A1/TFEC/THRA/TP53INP1";45
"GO:0010631";"GO:0010631";"epithelial cell migration";"27/3897";"98/18805";0.275510204081633;1.32947636329359;1.67192141492899;0.0643965992549465;0.327514632839582;0.285645582296103;"ANLN/CAPN7/CLASP2/CORO1C/DAB2IP/DOCK5/ENPP2/EPPK1/FGF7/HBEGF/HIF1A/IFNG/INSL3/ITGA3/KANK2/KRT2/MARVELD3/MMP9/MTOR/PKN1/PKN2/PKN3/PPARD/PRKCE/PTPN11/RREB1/TGFBR2";27
"GO:0001933";"GO:0001933";"negative regulation of protein phosphorylation";"53/3897";"210/18805";0.252380952380952;1.21786600193067;1.62323594757185;0.0645117002297483;0.327736605023163;0.28583917784047;"AKT1/AKT1S1/APOE/C9orf72/CACTIN/CALM3/CDKN1C/CORO1C/DAB2IP/DBNDD2/DGKQ/DNAJC3/DUSP19/DUSP7/FKBP8/GPRC5A/GSTP1/HHEX/HSPB1/IBTK/IL1B/IRAK3/LRP5/LYN/MVP/NCK1/PAQR3/PARP14/PDE4D/PIBF1/PRKDC/PRKRIP1/PTPN1/PTPN2/PTPRC/PTPRJ/PYCARD/QARS1/RASIP1/RASSF2/RB1/RGS2/RTRAF/SH3GL2/SLC8A1/SPRED2/SRCIN1/TRAF3IP1/TRIB1/TSC2/WARS1/WWTR1/ZGPAT";53
"GO:0050878";"GO:0050878";"regulation of body fluid levels";"93/3897";"388/18805";0.239690721649485;1.1566292072411;1.59389533914133;0.0647427810153673;0.327736605023163;0.28583917784047;"ADAMTS13/ADAMTS18/ANGPTL4/ANGPTL7/ANO6/AP3B1/APOE/AQP4/AQP6/ATG5/AVPR2/AXL/BLOC1S3/BTC/C1QTNF1/CCND1/DDR1/DGKE/DGKH/DGKQ/EDN1/EMILIN1/ENTPD1/EXT1/EXT2/F13A1/F2RL1/FERMT3/FIBP/FOSL2/FZD6/HBB/HIF1A/HPS5/HRG/HSPB1/ILK/JAK2/JMJD1C/KCNN4/LMAN1/LYN/MAPK14/MLLT6/MMRN1/MT-CO2/MTX1/MUC2/MYH9/MYL9/NCOA1/NCOR2/NPR1/NPR3/NR1H2/OPRL1/OXT/OXTR/P2RX1/PAPSS2/PDGFA/PDGFB/PDPN/PDSS2/PF4/PIK3CG/PLEK/PLSCR1/PRDX2/PRKACB/PRKCE/PRKCQ/PRRG3/PTPRJ/PTPRO/SCT/SCUBE1/SERPINE1/SERPINE2/SHH/SLC29A1/SLC7A11/SRF/SYK/TLR4/TMX1/USF2/VAMP8/VEGFA/VKORC1/XBP1/ZBTB7B/ZNF385A";93
"GO:0003014";"GO:0003014";"renal system process";"35/3897";"132/18805";0.265151515151515;1.27949043942116;1.64750789937333;0.0648315803452605;0.327736605023163;0.28583917784047;"ABCG2/ADGRF5/AQP4/AQP6/AVPR2/BCL2/BMP4/BTC/CLCN5/CLDN16/EDN1/F2RL1/HBB/IGHA1/IGKV3-20/ITGA3/JCHAIN/KLHL3/MLLT6/MYO1E/NPR1/NPR3/OPRL1/OXT/PCSK5/PDGFB/PKN1/PRKACB/PRKRIP1/PTPRO/RRM2B/SGK1/SLC15A2/SLC25A23/SUCNR1";35
"GO:0044091";"GO:0044091";"membrane biogenesis";"20/3897";"69/18805";0.289855072463768;1.39869762321816;1.69633016618283;0.0648876744133613;0.327736605023163;0.28583917784047;"BANF1/CHMP1A/CHMP2A/CHMP4A/CHMP4C/CLIP3/COL6A1/FLOT1/HDAC3/ILK/LRCH4/NLGN2/NRXN2/PEX11A/PTPRD/RFTN1/SPTBN1/STX4/TLCD2/UGCG";20
"GO:0072171";"GO:0072171";"mesonephric tubule morphogenesis";"20/3897";"69/18805";0.289855072463768;1.39869762321816;1.69633016618283;0.0648876744133613;0.327736605023163;0.28583917784047;"BCL2/BMP2/BMP4/GATA3/GREB1L/HES1/HOXA11/HOXD11/HS2ST1/ILK/LAMA5/LZTS2/SALL1/SHH/SIX2/SOX8/TCF21/TGFB1/TMEM59L/VEGFA";20
"GO:0022616";"GO:0022616";"DNA strand elongation";"12/3897";"37/18805";0.324324324324324;1.56502923246572;1.75890917332838;0.06506689130957;0.327736605023163;0.28583917784047;"ACTR8/INO80B/INO80E/LIG1/MCM7/NBN/POLD2/POLD3/POT1/RFC3/RUVBL2/TFPT";12
"GO:0030947";"GO:0030947";"regulation of vascular endothelial growth factor receptor signaling pathway";"12/3897";"37/18805";0.324324324324324;1.56502923246572;1.75890917332838;0.06506689130957;0.327736605023163;0.28583917784047;"DAB2IP/DLL1/EMILIN1/HGS/HHEX/HIF1A/IL1B/MMRN1/NEDD4/PRKCB/PTPN1/VEGFB";12
"GO:0032366";"GO:0032366";"intracellular sterol transport";"12/3897";"37/18805";0.324324324324324;1.56502923246572;1.75890917332838;0.06506689130957;0.327736605023163;0.28583917784047;"ABCA2/ARL8B/GRAMD1A/GRAMD1C/NPC1/NUS1/PIP4K2A/RELCH/STARD4/SYT7/VPS51/VPS52";12
"GO:0034110";"GO:0034110";"regulation of homotypic cell-cell adhesion";"12/3897";"37/18805";0.324324324324324;1.56502923246572;1.75890917332838;0.06506689130957;0.327736605023163;0.28583917784047;"ADAMTS18/C1QTNF1/EMILIN1/JAK2/LYN/MMRN1/PDPN/PRKCQ/SERPINE2/SYK/TMX1/ZNF703";12
"GO:0045773";"GO:0045773";"positive regulation of axon extension";"12/3897";"37/18805";0.324324324324324;1.56502923246572;1.75890917332838;0.06506689130957;0.327736605023163;0.28583917784047;"ANAPC2/CDH4/DISC1/GDI1/ISLR2/L1CAM/LIMK1/MEGF8/NTN1/SRF/TWF2/VEGFA";12
"GO:0045880";"GO:0045880";"positive regulation of smoothened signaling pathway";"12/3897";"37/18805";0.324324324324324;1.56502923246572;1.75890917332838;0.06506689130957;0.327736605023163;0.28583917784047;"CHSY1/DLG5/DYNC2H1/FOXA1/GORAB/KIF7/RAB34/SCUBE1/SHH/SHOX2/SKOR2/TEDC1";12
"GO:2000515";"GO:2000515";"negative regulation of CD4-positive, alpha-beta T cell activation";"12/3897";"37/18805";0.324324324324324;1.56502923246572;1.75890917332838;0.06506689130957;0.327736605023163;0.28583917784047;"CD274/CD69/HLX/LGALS1/RC3H1/RUNX1/RUNX3/SMAD7/TARM1/TBX21/TNFSF4/ZBTB7B";12
"GO:0051303";"GO:0051303";"establishment of chromosome localization";"31/3897";"115/18805";0.269565217391304;1.30078878959289;1.65419440530875;0.0651354479164296;0.327818822071782;0.285910884367057;"ANKRD53/ATM/CENPE/CHMP1A/CHMP2A/CHMP4A/CHMP4C/CUL3/DCTN2/ECT2/EML3/EML4/FAM83D/INCENP/KNTC1/MAD1L1/MAP1S/NUDC/NUF2/NUMA1/NUP62/PIBF1/PINX1/RB1/RRS1/SPAG5/SPDL1/SPICE1/TERB1/ZNF207/ZW10";31
"GO:2000779";"GO:2000779";"regulation of double-strand break repair";"38/3897";"145/18805";0.262068965517241;1.26461557519931;1.63540084036546;0.0655738103354792;0.329730651607894;0.287578308067668;"ARID2/ATR/BCL7B/BCL7C/CYREN/DEK/EPC1/FBH1/FH/HDGFL2/HELB/HMGA2/HSF1/ING3/KMT5C/NBN/PARP3/PARPBP/PELI1/PIAS4/PML/POT1/PPP4C/PPP4R3A/PRKDC/RAD51AP1/RNF126/RUVBL2/SENP3/SETMAR/SKP2/SLF1/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SMCHD1/UBQLN4";38
"GO:0002011";"GO:0002011";"morphogenesis of an epithelial sheet";"19/3897";"65/18805";0.292307692307692;1.41053275695308;1.69511955100802;0.0656614134349234;0.329730651607894;0.287578308067668;"ADAM17/AJUBA/CD151/CLASP2/COL5A1/DAG1/DDR1/DVL1/DVL2/HBEGF/MEGF8/MTOR/PDCD10/PDPN/PLET1/RHOC/RREB1/SOX11/SRF";19
"GO:0042475";"GO:0042475";"odontogenesis of dentin-containing tooth";"26/3897";"94/18805";0.276595744680851;1.3347146468369;1.66330072442255;0.0657964718427488;0.329730651607894;0.287578308067668;"ACVR2A/AMTN/ANKRD11/BAX/BCL11B/BCL2L11/BMP2/BMP4/BSG/CCDC154/CSF1/CSF3R/DLX3/EDA/FAM20C/JAG2/KLK4/LAMA5/LEF1/MSX1/NGFR/PRKCB/SERPINE1/SHH/SLC4A2/TGFB1";26
"GO:0006418";"GO:0006418";"tRNA aminoacylation for protein translation";"13/3897";"41/18805";0.317073170731707;1.53003874149596;1.73707057029898;0.0662235593438494;0.329730651607894;0.287578308067668;"AARS2/AARSD1/DALRD3/FARSA/FARSB/HARS1/IARS1/LRRC47/QARS1/RARS2/VARS1/VARS2/WARS1";13
"GO:0018279";"GO:0018279";"protein N-linked glycosylation via asparagine";"13/3897";"41/18805";0.317073170731707;1.53003874149596;1.73707057029898;0.0662235593438494;0.329730651607894;0.287578308067668;"ALG13/ALG5/ALG6/B4GALNT2/DERL3/MGAT5/MPDU1/NUS1/RPN1/ST6GAL1/STT3B/UBE2J1/UGGT1";13
"GO:0097242";"GO:0097242";"amyloid-beta clearance";"13/3897";"41/18805";0.317073170731707;1.53003874149596;1.73707057029898;0.0662235593438494;0.329730651607894;0.287578308067668;"ABCA7/APOE/CLU/HMGCR/IDE/IFNG/IFNGR1/MME/MSR1/PICALM/RAB11B/SRF/SYK";13
"GO:1990806";"GO:1990806";"ligand-gated ion channel signaling pathway";"13/3897";"41/18805";0.317073170731707;1.53003874149596;1.73707057029898;0.0662235593438494;0.329730651607894;0.287578308067668;"CAPN1/CPEB4/DLG4/GNA11/GRIA4/GRIK3/GRIK4/GRIK5/GRIN2D/GRIN3B/ITPR1/MEF2C/PTK2B";13
"GO:0014009";"GO:0014009";"glial cell proliferation";"18/3897";"61/18805";0.295081967213115;1.42392003937455;1.69550220404202;0.0663101172109547;0.329730651607894;0.287578308067668;"CLU/CSF1/CX3CL1/DICER1/GFAP/HES1/IL1B/LGI4/LYN/NTN1/ORC3/PTK2B/RB1/SHH/SKI/SLC7A5/SOX11/UFL1";18
"GO:0043113";"GO:0043113";"receptor clustering";"18/3897";"61/18805";0.295081967213115;1.42392003937455;1.69550220404202;0.0663101172109547;0.329730651607894;0.287578308067668;"AGRN/APOE/CD53/DLG3/DLG4/DVL1/ITGA4/ITGAL/MAGI2/NLGN2/NRXN2/PICK1/SCRIB/SHANK3/SHISA6/SLC7A11/SYNGAP1/TNFAIP6";18
"GO:0090100";"GO:0090100";"positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway";"30/3897";"111/18805";0.27027027027027;1.30419102705477;1.6433777456525;0.0667389928072617;0.329730651607894;0.287578308067668;"ACVR2A/ATOH8/AXIN1/BMP2/BMP4/CDKN1C/CSNK2B/FBXL15/FKBP8/FLCN/GATA4/GDF11/GDF7/GIPC1/HES1/HSP90AB1/ILK/JAK2/KCP/MSX1/NGLY1/NUMA1/RNF111/SH2B1/SOX11/STK11/TGFB1/TGFB3/TGFBR2/ZC3H3";30
"GO:1901799";"GO:1901799";"negative regulation of proteasomal protein catabolic process";"17/3897";"57/18805";0.298245614035088;1.4391862386271;1.69781087516045;0.0668017949640408;0.329730651607894;0.287578308067668;"ALAD/BAG6/CSNK2B/DDRGK1/GIPC1/HSP90AB1/MAP1A/MARCHF7/NOP53/OGT/PHF20L1/RYBP/SGTA/SHH/UBXN1/USP25/USP38";17
"GO:0032689";"GO:0032689";"negative regulation of type II interferon production";"14/3897";"45/18805";0.311111111111111;1.50126878225416;1.72123881320913;0.0668803758184732;0.329730651607894;0.287578308067668;"AXL/CD274/CD96/CR1/DDIT3/GATA3/HLA-DRB1/LAPTM5/PDCD1LG2/PGLYRP3/RARA/SLAMF1/TLR4/TNFSF4";14
"GO:0043038";"GO:0043038";"amino acid activation";"14/3897";"45/18805";0.311111111111111;1.50126878225416;1.72123881320913;0.0668803758184732;0.329730651607894;0.287578308067668;"AARS2/AARSD1/DALRD3/FARSA/FARSB/HARS1/IARS1/LRRC47/QARS1/QRSL1/RARS2/VARS1/VARS2/WARS1";14
"GO:0090148";"GO:0090148";"membrane fission";"14/3897";"45/18805";0.311111111111111;1.50126878225416;1.72123881320913;0.0668803758184732;0.329730651607894;0.287578308067668;"CHMP1A/CHMP2A/CHMP4A/CHMP4C/CORO1C/EXOC1/EXOC2/EXOC4/EXOC6/HGS/MVB12A/SLC25A46/STAM2/VPS28";14
"GO:1901861";"GO:1901861";"regulation of muscle tissue development";"14/3897";"45/18805";0.311111111111111;1.50126878225416;1.72123881320913;0.0668803758184732;0.329730651607894;0.287578308067668;"BCL2/BMP4/DLL1/FLOT1/IGF2/IGFBP5/LEF1/LMOD3/LOX/MEF2C/SHH/SHOX2/TGFB1/USP19";14
"GO:0002269";"GO:0002269";"leukocyte activation involved in inflammatory response";"16/3897";"53/18805";0.30188679245283;1.45675676984231;1.70247115635585;0.0670965141903725;0.329730651607894;0.287578308067668;"ATM/CALHM2/CLU/CTSC/CX3CL1/GRN/IFNG/IFNGR1/JAK2/LRRK2/NR1D1/PTPRC/STAP1/TLR1/TLR2/TLR6";16
"GO:0000466";"GO:0000466";"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"BOP1/ERI1/FTSJ3/KRI1/NOP9/PES1/RPP40/RRS1";8
"GO:0000729";"GO:0000729";"DNA double-strand break processing";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"ATM/HELB/NBN/RNF138/SETMAR/SLX1A/SLX4/SMARCAD1";8
"GO:0010737";"GO:0010737";"protein kinase A signaling";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"ADGRV1/AIP/AKAP12/AKAP5/AKAP7/LCP1/RAB13/TTN";8
"GO:0015669";"GO:0015669";"gas transport";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"AQP6/BPGM/CYGB/HBA1/HBA2/HBB/HBG2/IPCEF1";8
"GO:0015802";"GO:0015802";"basic amino acid transport";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"SLC15A4/SLC25A15/SLC38A9/SLC47A1/SLC66A1/SLC7A2/SLC7A5/SLC7A6";8
"GO:0032816";"GO:0032816";"positive regulation of natural killer cell activation";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"AXL/BLOC1S3/FCGR3A/IL15/JAK2/RASGRP1/TOX/TYK2";8
"GO:0035809";"GO:0035809";"regulation of urine volume";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"AVPR2/BTC/EDN1/MLLT6/NPR1/NPR3/OPRL1/OXT";8
"GO:0036376";"GO:0036376";"sodium ion export across plasma membrane";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"ATP1A2/ATP1A3/FXYD1/FXYD6/FXYD7/SLC4A4/SLC8A1/SLC9A1";8
"GO:0071498";"GO:0071498";"cellular response to fluid shear stress";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"HDAC3/MAPK7/MEF2C/MMP2/PLEC/PTGS2/PTK2B/XBP1";8
"GO:0072111";"GO:0072111";"cell proliferation involved in kidney development";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"BMP2/BMP4/EGR1/FLCN/GATA3/PDGFB/SHH/STAT1";8
"GO:2000725";"GO:2000725";"regulation of cardiac muscle cell differentiation";"8/3897";"22/18805";0.363636363636364;1.75472974549187;1.81092706744318;0.0671135978436305;0.329730651607894;0.287578308067668;"BMP2/BMP4/DLL1/FZD7/HDAC3/KAT2A/MEF2C/TGFB1";8
"GO:0043029";"GO:0043029";"T cell homeostasis";"15/3897";"49/18805";0.306122448979592;1.47719595921509;1.71003625304569;0.0671440045817223;0.329730651607894;0.287578308067668;"AKT1/BAX/BCL2/BCL2L11/CASP3/CHST3/IL2RA/IL7R/NCKAP1L/PPP2R3C/PRDX2/RC3H1/SIT1/SIVA1/TGFB1";15
"GO:0061028";"GO:0061028";"establishment of endothelial barrier";"15/3897";"49/18805";0.306122448979592;1.47719595921509;1.71003625304569;0.0671440045817223;0.329730651607894;0.287578308067668;"F2RL1/FASN/IL1B/MARVELD2/MYADM/PDE4D/PECAM1/PPP1R16B/PTPRS/RAPGEF3/S1PR2/S1PR3/SOX18/VEGFA/ZDHHC21";15
"GO:1902003";"GO:1902003";"regulation of amyloid-beta formation";"15/3897";"49/18805";0.306122448979592;1.47719595921509;1.71003625304569;0.0671440045817223;0.329730651607894;0.287578308067668;"ABCA2/ABCA7/APOE/BIN1/CASP3/CLU/GSAP/IFNG/IFNGR1/PICALM/PIN1/RELA/RTN2/SORL1/SPON1";15
"GO:1905710";"GO:1905710";"positive regulation of membrane permeability";"15/3897";"49/18805";0.306122448979592;1.47719595921509;1.71003625304569;0.0671440045817223;0.329730651607894;0.287578308067668;"ATP5IF1/BAX/BCL2L11/BNIP3L/BOK/HSPA1A/IER3/LAPTM5/MYLK3/RHOT2/SIVA1/SLC25A6/SLC9A1/SPG7/ZNF205";15
"GO:0097529";"GO:0097529";"myeloid leukocyte migration";"59/3897";"237/18805";0.248945147679325;1.20128650297914;1.59436185801967;0.067311873622702;0.330296574555182;0.288071884151311;"ADGRE2/ANO6/BSG/CCL2/CCL7/CCR1/CCR2/CCR7/CSF1/CSF3R/CX3CL1/CXCL10/CXCL13/CXCL3/CXCL6/CXCL8/CXCL9/CXCR1/CXCR2/DDT/EDN1/EMILIN1/FPR2/IL17RC/IL1B/IRAK4/ITGA1/JAML/LBP/LYN/MAPK3/MMP2/MPP1/NBL1/NCKAP1L/PDE4B/PDGFB/PECAM1/PF4/PIK3CG/PIKFYVE/PIP5K1C/PPBP/PTK2B/PTPRJ/PTPRO/RIPOR2/S100A9/SERPINE1/SLAMF1/SRP54/STAP1/SYK/THBS4/TNFAIP6/TREM1/TRIM55/VEGFA/VEGFB";59
"GO:0006606";"GO:0006606";"protein import into nucleus";"43/3897";"167/18805";0.25748502994012;1.24249576290068;1.60932355759392;0.0677447997512956;0.332161221280571;0.289698156831198;"AKT1/BAG3/BMP4/CDH1/E2F3/ECT2/EFCAB7/HDAC3/HIKESHI/IFNG/ING1/IPO11/JAK2/JUP/KPNA1/KPNA2/LMNA/LRRK2/MAPK14/NUP35/NUP50/NUP58/NUP62/NUP98/PIK3R2/PML/PTGS2/RANBP2/RANBP6/RGPD8/SHH/SIX2/SPG11/SPRN/STK4/SYK/TGFB1/TNPO2/TRIM28/TSC2/UBR5/XBP1/ZPR1";43
"GO:0009259";"GO:0009259";"ribonucleotide metabolic process";"89/3897";"371/18805";0.23989218328841;1.15760136174969;1.5675368568912;0.0682464230232314;0.333961914658365;0.291268651877411;"ABCC6/ABHD14B/ADCY9/ADK/ADPGK/ADSS1/AK1/ALDOC/AMPD1/ANTKMT/APRT/ARL2/ATP1A2/ATP5F1D/ATP5IF1/ATP5MF/ATP6V0C/ATP6V1A/ATP6V1B2/BAD/BPGM/COL6A1/DCK/DDIT4/ENO2/ENO4/ENTPD4/ENTPD7/FIS1/FLCN/FOXK1/GALK1/GIT1/GUK1/HIF1A/HSPA1A/HSPA1B/IER3/IFNG/LRGUK/LRRK2/MPP1/MT-ATP6/MT-ATP8/MT-ND1/MT-ND2/MT-ND3/MT-ND4/MT-ND4L/MT-ND5/MT-ND6/MTOR/NDUFA11/NDUFA3/NDUFB10/NDUFB7/NDUFS2/NDUFS7/NDUFV1/NDUFV2/NPR1/NT5C/NT5C1A/NT5C2/NUDT5/NUPR1/OGT/PAPSS1/PAPSS2/PDE4A/PDE4B/PDE4D/PDE7A/PDE8A/PFKFB2/PFKL/PFKP/PINK1/RFK/RNASEH2B/SLC4A4/SPHK2/SULT1A1/TAFAZZIN/TGFB1/UCK1/UPB1/VPS9D1/ZBTB7A";89
"GO:0045446";"GO:0045446";"endothelial cell differentiation";"33/3897";"124/18805";0.266129032258065;1.28420745486603;1.62340500254989;0.0682716916039965;0.333961914658365;0.291268651877411;"ARHGEF26/ATOH8/BMP4/BTG1/CCM2/COL18A1/CXCR4/DLL1/EDF1/F2RL1/FASN/FOXJ2/GPX1/HEY1/IL1B/KDM6B/MARVELD2/MYADM/NOTCH4/PDE4D/PDPN/PECAM1/PPP1R16B/PTPRS/RAPGEF3/S1PR1/S1PR2/S1PR3/SCUBE1/SOX18/VEGFA/ZDHHC21/ZEB1";33
"GO:0071887";"GO:0071887";"leukocyte apoptotic process";"33/3897";"124/18805";0.266129032258065;1.28420745486603;1.62340500254989;0.0682716916039965;0.333961914658365;0.291268651877411;"ADAM17/AKT1/AXL/BAX/BBC3/BCL11B/BCL2/BCL2L11/BMP4/CASP3/CCR7/CD274/CTSL/CXCR2/DOCK8/FASLG/FNIP1/HIF1A/IL2RA/IL7R/IRF3/IRF7/KDELR1/LYN/MEF2C/NFKBIZ/PKN1/PRKCQ/SELENOS/SIVA1/SLC7A11/ST3GAL1/ST6GAL1";33
"GO:0019058";"GO:0019058";"viral life cycle";"72/3897";"295/18805";0.24406779661017;1.17775081222844;1.57325827467608;0.0687118566259564;0.335853280517525;0.292918227951281;"APOBEC3C/APOE/ARL8B/ATG16L1/ATG5/AXL/BANF1/BCL2/BSG/CCL2/CD28/CD46/CD55/CD86/CH25H/CHMP1A/CHMP2A/CHMP4A/CHMP4C/CNOT7/CR1/CR2/CSNK2B/CTSL/CXCL8/CXCR4/DAG1/DDX5/DEK/HAVCR1/HLA-DRB1/HMGA2/HSP90AB1/HSPA1A/HSPA1B/IDE/IFI16/IFIH1/IFITM3/ISG20/KPNA2/LGALS1/LRSAM1/MVB12A/MYH9/NEDD4/NPC1/NR5A2/OAS3/OASL/PCSK5/PDCD6IP/PIKFYVE/PKN2/PLSCR1/RAB1B/RAD23A/SHFL/SIVA1/SLAMF1/SLC52A2/SMC5/SMC6/SRPK1/TFRC/TRIM11/TRIM28/UVRAG/VAMP8/VPS28/XPR1/YTHDC2";72
"GO:0048469";"GO:0048469";"cell maturation";"53/3897";"211/18805";0.251184834123223;1.21209412514427;1.58403249128779;0.0693424478103534;0.337234160466963;0.294122577979304;"AGRN/AURKA/AXL/BAP1/BCL11A/BCL2/BHLHA15/BRCA2/CATSPERE/CCR6/CDKN1C/CLEC7A/CX3CL1/EDN1/EPB42/FAM20C/FBXO5/FLVCR1/FOXA1/FZD5/G6PD/GATA3/GDF11/HES1/HIF1A/IL15/INSL3/LGI4/LRRK2/NTN4/P2RX5/PICK1/PTBP3/PTK2B/RB1/RFX3/SCARF1/SCLT1/SHB/SIX3/SOX18/SOX8/SPTBN4/SRRM4/TDRD6/TGFB1/TUT7/VEGFA/WASHC5/WEE2/XBP1/YTHDF2/ZBTB7A";53
"GO:0050729";"GO:0050729";"positive regulation of inflammatory response";"42/3897";"163/18805";0.257668711656442;1.24338212027185;1.59557363954832;0.0696514155982992;0.337234160466963;0.294122577979304;"CASP3/CASP4/CASP5/CCR2/CCR7/CD28/CTSC/CX3CL1/DDT/DHX9/FCGR1A/GBP1/GBP5/GRN/GSDMD/IFI35/IFNG/IL15/IL1B/LBP/LGALS1/LILRA5/LRRK2/NAIP/NFKBIZ/NKG7/NUPR1/OSMR/PIK3CG/PTGS2/PYCARD/S100A9/SERPINE1/STAP1/SUCNR1/TGFB1/TLR2/TLR4/TNFSF4/TRADD/VAMP8/ZBP1";42
"GO:0030516";"GO:0030516";"regulation of axon extension";"23/3897";"82/18805";0.280487804878049;1.35349580978489;1.64015204523677;0.069943514933345;0.337234160466963;0.294122577979304;"ANAPC2/APOE/ARHGAP4/BCL11A/CDH1/CDH4/CLASP2/DISC1/GDI1/ISLR2/L1CAM/LIMK1/MEGF8/NTN1/OLFM1/PLXNA3/PTPRS/RNF6/SEMA3G/SEMA6C/SRF/TWF2/VEGFA";23
"GO:0051092";"GO:0051092";"positive regulation of NF-kappaB transcription factor activity";"32/3897";"120/18805";0.266666666666667;1.2868018133607;1.61141201298581;0.0700520531266067;0.337234160466963;0.294122577979304;"CARD16/CARD9/CHUK/CLEC7A/CLU/DDRGK1/DHX9/HSPA1A/HSPA1B/IL18RAP/IL1B/IRAK1/IRAK3/MALT1/PIDD1/PRKCQ/PYCARD/RBCK1/RELA/RIPK2/RNF31/RPS6KA4/S100A9/TFRC/TLR2/TLR4/TRADD/TRAF2/TRAF5/TRIM13/TRIM22/ZBTB7A";32
